,,,,,,,,x,y,z
,,,,,,,,105.20089,149.00447,42
,,,,,,,,104.71204,61.57592,41.87434
,,,,,,,,105.86021,107.26344,51.8871
,,,,,,,,67.5303,127.01515,60.9899
,,,,,,,,69.81443,80.85567,63.6701
,,,,,,,,133.67227,125.06303,70.22269
,,,,,,,,129.25882,83.77059,71.82353
,,,,,,,,123.95492,167.24181,74.52869
,,,,,,,,80.1647,165.31764,83.26667
,,,,,,,,90.77778,64.45556,86.98333
,,,,,,,,113.96,106.048,90.424
,,,,,,,,45.81707,146.53659,97.59756
,,,,,,,,133.87151,146.16202,98.15643
,,,,,,,,159.56451,108.98387,98.46236
,,,,,,,,158.35185,61.95062,98.66049
,,,,,,,,51.66474,59.88439,99.25433
,,,,,,,,149.99451,185.10989,100.38461
,,,,,,,,64.91257,105.98907,102.74863
,,,,,,,,61.22374,182.49771,101.89954
,,,,,,,,90.16666,102.26894,104.41666
,,,,,,,,112.43774,64.66038,105.57736
,,,,,,,,124.44898,126.96429,121.95408
,,,,,,,,133.97815,86.60656,128.34973
,,,,,,,,68.36842,166.01579,129.92632
,,,,,,,,64.93889,124.49445,131.59445
,,,,,,,,68.015,81.495,132.495
,,,,,,,,138.84456,168.02591,141.96892
,,,,,,,,103.30286,102.80572,147.19429
,,,,,,,,101.09626,146.02673,148.86096
,,,,,,,,101.64584,59.82292,155.14583
